name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_22_0.75.gml;22;173;0.75;clever;0.25;5;False;-1;0.006000041961669922
graph_22_0.75.gml;22;173;0.75;clever;0.5;11;False;-1;0.002999544143676758
graph_22_0.75.gml;22;173;0.75;clever;0.75;16;False;-1;0.0025398731231689453
graph_23_0.125.gml;23;31;0.125;clever;0.125;2;True;(99, 95):(99, 58);0.0
graph_23_0.125.gml;23;31;0.125;clever;0.25;5;True;(72, 79):(99, 58):(3, 1):(99, 95):(64, 8);0.0
graph_23_0.125.gml;23;31;0.125;clever;0.5;11;True;(11, 68):(72, 79):(99, 58):(13, 46):(3, 1):(64, 8):(63, 50):(99, 95):(84, 31):(44, 53):(47, 21);0.00099945068359375
graph_23_0.125.gml;23;31;0.125;clever;0.75;17;False;-1;0.001004934310913086
graph_23_0.25.gml;23;63;0.25;clever;0.125;2;True;(11, 68):(64, 8);0.0009856224060058594
graph_23_0.25.gml;23;63;0.25;clever;0.25;5;True;(63, 50):(11, 68):(72, 79):(13, 46):(64, 8);0.003996372222900391
graph_23_0.25.gml;23;63;0.25;clever;0.5;11;False;-1;0.0040090084075927734
graph_23_0.25.gml;23;63;0.25;clever;0.75;17;False;-1;0.00099945068359375
graph_23_0.5.gml;23;126;0.5;clever;0.125;2;True;(11, 68):(72, 79);0.008998870849609375
graph_23_0.5.gml;23;126;0.5;clever;0.25;5;True;(63, 50):(11, 68):(72, 79):(71, 100):(44, 53);0.012000322341918945
graph_23_0.5.gml;23;126;0.5;clever;0.5;11;False;-1;0.0050106048583984375
graph_23_0.5.gml;23;126;0.5;clever;0.75;17;False;-1;0.001990795135498047
graph_23_0.75.gml;23;189;0.75;clever;0.125;2;True;(11, 68):(72, 79);0.006991147994995117
graph_23_0.75.gml;23;189;0.75;clever;0.25;5;False;-1;0.006994485855102539
graph_23_0.75.gml;23;189;0.75;clever;0.5;11;False;-1;0.0029997825622558594
graph_23_0.75.gml;23;189;0.75;clever;0.75;17;False;-1;0.001997709274291992
graph_24_0.125.gml;24;34;0.125;clever;0.125;3;True;(3, 1):(84, 31):(72, 79);0.0
graph_24_0.125.gml;24;34;0.125;clever;0.25;6;True;(27, 93):(72, 79):(3, 1):(99, 95):(84, 31):(64, 8);0.0010018348693847656
graph_24_0.125.gml;24;34;0.125;clever;0.5;12;True;(99, 95):(72, 79):(41, 72):(71, 100):(3, 1):(1, 29):(18, 19):(80, 61):(84, 31):(27, 93):(64, 8):(47, 21);0.0009899139404296875
graph_24_0.125.gml;24;34;0.125;clever;0.75;18;False;-1;0.000997304916381836
graph_24_0.25.gml;24;69;0.25;clever;0.125;3;True;(11, 68):(99, 95):(41, 72);0.002014636993408203
graph_24_0.25.gml;24;69;0.25;clever;0.25;6;True;(63, 50):(99, 95):(11, 68):(41, 72):(3, 1):(30, 2);0.0039980411529541016
graph_24_0.25.gml;24;69;0.25;clever;0.5;12;False;-1;0.0029990673065185547
graph_24_0.25.gml;24;69;0.25;clever;0.75;18;False;-1;0.0010221004486083984
graph_24_0.5.gml;24;138;0.5;clever;0.125;3;True;(11, 68):(30, 2):(72, 79);0.008546829223632812
