name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time;operations_count;solutions_count
graph_138_0.5.gml;138;4726;0.5;greedy_v1;0.25;34;False;-1;0.009000301361083984;11410;9
graph_138_0.5.gml;138;4726;0.5;greedy_v1;0.5;69;False;-1;0.008999824523925781;11410;9
graph_138_0.5.gml;138;4726;0.5;greedy_v1;0.75;103;False;-1;0.010000467300415039;11410;9
graph_138_0.25.gml;138;2363;0.25;greedy_v1;0.125;17;True;(11, 68):(11, 1):(50, 91):(53, 59):(100, 82):(27, 28):(31, 100):(39, 62):(64, 29):(69, 19):(13, 57):(10, 19):(30, 2):(1, 83):(39, 99):(47, 21):(100, 69);0.0049970149993896484;9700;18
graph_138_0.25.gml;138;2363;0.25;greedy_v1;0.25;34;False;-1;0.005000591278076172;9702;18
graph_138_0.25.gml;138;2363;0.25;greedy_v1;0.5;69;False;-1;0.007000446319580078;9702;18
graph_138_0.25.gml;138;2363;0.25;greedy_v1;0.75;103;False;-1;0.004999399185180664;9702;18
graph_138_0.75.gml;138;7089;0.75;greedy_v1;0.125;17;False;-1;0.017000198364257812;13492;5
graph_138_0.75.gml;138;7089;0.75;greedy_v1;0.25;34;False;-1;0.016999244689941406;13492;5
graph_138_0.75.gml;138;7089;0.75;greedy_v1;0.5;69;False;-1;0.012999534606933594;13492;5
graph_138_0.75.gml;138;7089;0.75;greedy_v1;0.75;103;False;-1;0.012999534606933594;13492;5
graph_138_0.125.gml;138;1181;0.125;greedy_v1;0.125;17;True;(84, 91):(80, 46):(16, 100):(92, 16):(72, 37):(73, 68):(39, 9):(72, 1):(42, 31):(63, 50):(40, 38):(74, 89):(92, 1):(30, 2):(88, 40):(39, 99):(19, 34);0.00299835205078125;7979;18
graph_138_0.125.gml;138;1181;0.125;greedy_v1;0.25;34;False;-1;0.0030388832092285156;8354;29
graph_138_0.125.gml;138;1181;0.125;greedy_v1;0.5;69;False;-1;0.003968715667724609;8354;29
graph_138_0.125.gml;138;1181;0.125;greedy_v1;0.75;103;False;-1;0.0030374526977539062;8354;29
graph_139_0.5.gml;139;4795;0.5;greedy_v1;0.125;17;False;-1;0.010999679565429688;11626;9
graph_139_0.5.gml;139;4795;0.5;greedy_v1;0.25;34;False;-1;0.010998249053955078;11626;9
graph_139_0.5.gml;139;4795;0.5;greedy_v1;0.5;69;False;-1;0.011000394821166992;11626;9
graph_139_0.5.gml;139;4795;0.5;greedy_v1;0.75;104;False;-1;0.011000633239746094;11626;9
graph_139_0.25.gml;139;2397;0.25;greedy_v1;0.125;17;True;(11, 1):(72, 79):(80, 46):(64, 91):(40, 1):(85, 68):(64, 8):(3, 16):(44, 44):(80, 16):(17, 73):(39, 62):(40, 38):(57, 93):(91, 64):(100, 82):(32, 18);0.006000041961669922;9777;18
graph_139_0.25.gml;139;2397;0.25;greedy_v1;0.25;34;False;-1;0.006033897399902344;9779;18
graph_139_0.25.gml;139;2397;0.25;greedy_v1;0.5;69;False;-1;0.005967140197753906;9779;18
graph_139_0.25.gml;139;2397;0.25;greedy_v1;0.75;104;False;-1;0.006032466888427734;9779;18
graph_139_0.75.gml;139;7193;0.75;greedy_v1;0.125;17;False;-1;0.014995813369750977;14102;5
graph_139_0.75.gml;139;7193;0.75;greedy_v1;0.25;34;False;-1;0.014999866485595703;14102;5
